"Processing iDEAL Basic response...","Processing iDEAL Basic response..."
"Payment status: %1.","Payment status: %1."
"Payment complete.","Payment complete."
"Pending payment.","Pending payment."
"Payment failed.","Payment failed."
"Invoice created.","Invoice created."
"Automatic invoice.","Automatic invoice."
"Payment already processed.","Payment already processed."
"Order not found.","Order not found."
"Payment failed. Please try again.","Payment failed. Please try again."
"Pending Payment Status","Pending Payment Status"
"Processing Order Status","Processing Order Status"
"Acceptant Bank","Acceptant Bank"
"Merchant (Acceptant) ID","Merchant (Acceptant) ID"
"Sub ID","Sub ID"
"Secret Key","Secret Key"
"Test Mode","Test Mode"
"Create Invoice","Create Invoice"
