"Processing iDEAL Basic response...","Bezig met verwerken iDEAL Basic response..."
"Payment status: %1.","Status betaling: %1."
"Payment complete.","Betaling afgerond."
"Pending payment.","In afwachting van betaling."
"Payment failed.","Betaling mislukt."
"Invoice created.","Factuur aangemaakt."
"Automatic invoice.","Automatische factuur."
"Payment already processed.","Betaling al verwerkt."
"Order not found.","Bestelling niet gevonden."
"Payment failed. Please try again.","Betaling mislukt. Probeer a.u.b. opnieuw."
"Pending Payment Status","Pending Payment status"
"Processing Order Status","Processing Order status"
"Acceptant Bank","Acceptant bank"
"Merchant (Acceptant) ID","Merchant (acceptant) ID"
"Sub ID","Sub ID"
"Secret Key","Geheime sleutel"
"Test Mode","Testmodus"
"Create Invoice","Maak factuur aan"
